evolution$generation,alpha,beta,tsteps,popfit,indicsfit,evolution$samples
300,1.014334228829406,0.09685911213339449,28.411830777403107,3.364027864226085E10,1.0262806127113464,1
300,1.4100638371098473,0.1,2.476500917947705,2.0898845702318423E9,1.5468812493612696,1
300,2.298207783754569,0.02521649882994911,40.00871519022224,1.1734731691679893E10,1.431603329680204,3
300,0.9463317706161305,0.09984559883820965,35.24189507570615,3.83525805226033E10,0.9757080040622019,2
300,2.238937753803838,0.020297987883225652,49.18845512690931,1.1186044110534214E10,1.424637450015114,1
300,1.157598430518258,0.1,35.1560049157631,3.7628929711336136E10,0.9914452810273243,1
300,1.0783350197481503,0.1,34.83154519397578,3.788825717992991E10,0.9841009267481713,2
300,1.3999330251876596,0.1,2.2217424008157196,2.3416465362193146E9,1.5528026521111058,3
300,2.2114543733499934,0.02055947865147066,48.53066227808998,1.1335111193588995E10,1.4188759047775956,1
300,1.0147845742794723,0.0987113995665951,35.204523044476176,3.7913436792019035E10,0.981816572772825,1
300,0.932372913465098,0.09993820314078684,30.53073231948584,3.592487109828645E10,1.000823137940884,1
300,0.28129619359562985,0.0,67.71104522479193,7.423404598742242E8,1.6735049720158277,3
300,1.061853414283099,0.1,1.0,1.8922653500791132E9,1.5622185823406984,2
300,1.0539193234913118,0.1,27.926383658544225,3.3572815032233437E10,1.02872091288173,3
300,1.1575212443256937,0.09967171964835671,35.02000500625938,3.757879459027121E10,0.9918459459096978,3
300,0.3253381343132088,0.0,52.857374981904954,6.994787175217468E8,1.6595480211475606,2
300,1.1181762716112473,0.09707137797665377,17.224283438728413,2.338786184067862E10,1.1323717937525677,2
300,0.9415875103359056,0.1,35.238266670742675,3.8394152653002014E10,0.9752065274753431,1
300,0.3844425928535371,0.0,47.849727646220614,6.384730460427744E8,1.6431578630861616,1
300,0.9432787319453142,0.08765607413660227,32.899612407841005,3.4521453822618324E10,1.0154598276280005,1
